L,INSTANCE,PT,GUROBI,MIPGAP
5,47,-3586.0,-3586.0,0.0000000
5,48,-3992.0,-3992.0,0.0000000
5,49,-3876.0,-3876.0,0.0000000
5,50,-3710.0,-3710.0,0.0000000
5,51,-3873.0,-3873.0,0.0000000
5,52,-3864.0,-3864.0,0.0000000
5,53,-3725.0,-3725.0,0.0000000
5,54,-3539.0,-3539.0,0.0000000
5,55,-3849.0,-3849.0,0.0000000
5,56,-3824.0,-3824.0,0.0000000
5,57,-3744.0,-3744.0,0.0000000
5,58,-3627.0,-3627.0,0.0000000
5,59,-3824.0,-3824.0,0.0000000
5,60,-3708.0,-3708.0,0.0000000
5,61,-3792.0,-3792.0,0.0000000
5,62,-3996.0,-3996.0,0.0000000
5,63,-3762.0,-3762.0,0.0000000
5,64,-3812.0,-3812.0,0.0000000
5,65,-3552.0,-3552.0,0.0000000
5,66,-3666.0,-3666.0,0.0000000
5,67,-3844.0,-3844.0,0.0000000
5,68,-3725.0,-3725.0,0.0000000
5,69,-3873.0,-3873.0,0.0000000
5,70,-3919.0,-3919.0,0.0000000
5,71,-3819.0,-3819.0,0.0000000
5,72,-3611.0,-3611.0,0.0000000
5,73,-3471.0,-3471.0,0.0000000
5,74,-3766.0,-3766.0,0.0000000
5,75,-3663.0,-3663.0,0.0000000
5,76,-3794.0,-3794.0,0.0000000
5,77,-3865.0,-3865.0,0.0000000
5,78,-3672.0,-3672.0,0.0000000
5,79,-3739.0,-3739.0,0.0000000
5,80,-3720.0,-3720.0,0.0000000
5,81,-3721.0,-3721.0,0.0000000
5,82,-3768.0,-3768.0,0.0000000
5,83,-3887.0,-3887.0,0.0000000
5,84,-3762.0,-3762.0,0.0000000
5,85,-3565.0,-3565.0,0.0000000
5,86,-3739.0,-3739.0,0.0000000
5,87,-3593.0,-3593.0,0.0000000
5,88,-3739.0,-3739.0,0.0000000
5,89,-3868.0,-3868.0,0.0000000
5,90,-3685.0,-3685.0,0.0000000
5,91,-3919.0,-3919.0,0.0000000
5,92,-3991.0,-3991.0,0.0000000
5,93,-3958.0,-3958.0,0.0000000
5,94,-3785.0,-3785.0,0.0000000
5,95,-3746.0,-3746.0,0.0000000
5,96,-3697.0,-3697.0,0.0000000
5,97,-3890.0,-3890.0,0.0000000
5,98,-3547.0,-3547.0,0.0000000
5,99,-3755.0,-3755.0,0.0000000
5,100,-4108.0,-4108.0,0.0000000
5,101,-3621.0,-3621.0,0.0000000
5,102,-3936.0,-3936.0,0.0000000
5,103,-3809.0,-3809.0,0.0000000
5,104,-3622.0,-3622.0,0.0000000
5,105,-3577.0,-3577.0,0.0000000
5,106,-3883.0,-3883.0,0.0000000
5,107,-3819.0,-3819.0,0.0000000
5,108,-3696.0,-3696.0,0.0000000
5,109,-3798.0,-3798.0,0.0000000
5,110,-3946.0,-3946.0,0.0000000
5,111,-3838.0,-3838.0,0.0000000
5,112,-3838.0,-3838.0,0.0000000
5,113,-3612.0,-3612.0,0.0000000
5,114,-3746.0,-3746.0,0.0000000
5,115,-3729.0,-3729.0,0.0000000
5,116,-3754.0,-3754.0,0.0000000
5,117,-3537.0,-3537.0,0.0000000
5,118,-3931.0,-3931.0,0.0000000
5,119,-3807.0,-3807.0,0.0000000
5,120,-3744.0,-3744.0,0.0000000
5,121,-3908.0,-3908.0,0.0000000
5,122,-3679.0,-3679.0,0.0000000
5,123,-3842.0,-3842.0,0.0000000
5,124,-4081.0,-4081.0,0.0000000
6,0,-5605.0,-5605.0,0.0000000
6,1,-5864.0,-5864.0,0.0000000
6,2,-5588.0,-5588.0,0.0000000
6,3,-5634.0,-5634.0,0.0000000
6,4,-5831.0,-5831.0,0.0000000
6,5,-5563.0,-5563.0,0.0000000
6,6,-5759.0,-5759.0,0.0000000
6,7,-5862.0,-5862.0,0.0000000
6,8,-5633.0,-5633.0,0.0000000
6,9,-5743.0,-5743.0,0.0000000
6,10,-5693.0,-5693.0,0.0000000
6,11,-5870.0,-5870.0,0.0000000
6,12,-5542.0,-5542.0,0.0000000
6,13,-5615.0,-5615.0,0.0000000
6,14,-5699.0,-5699.0,0.0000000
6,15,-5715.0,-5715.0,0.0000000
6,16,-5706.0,-5706.0,0.0000000
6,17,-5443.0,-5443.0,0.0000000
6,18,-5618.0,-5618.0,0.0000000
6,19,-5755.0,-5755.0,0.0000000
6,20,-5427.0,-5427.0,0.0000000
6,21,-5704.0,-5704.0,0.0000000
6,22,-5725.0,-5725.0,0.0000000
6,23,-5867.0,-5867.0,0.0000000
6,24,-5793.0,-5793.0,0.0000000
6,25,-5672.0,-5672.0,0.0000000
6,26,-5791.0,-5791.0,0.0000000
6,27,-5472.0,-5472.0,0.0000000
6,28,-5779.0,-5779.0,0.0000000
6,29,-5678.0,-5678.0,0.0000000
6,30,-5707.0,-5707.0,0.0000000
6,31,-5799.0,-5799.0,0.0000000
6,32,-5591.0,-5591.0,0.0000000
6,33,-5958.0,-5958.0,0.0000000
6,34,-5843.0,-5843.0,0.0000000
6,35,-5630.0,-5630.0,0.0000000
6,36,-5563.0,-5563.0,0.0000000
6,37,-5749.0,-5749.0,0.0000000
6,38,-5742.0,-5742.0,0.0000000
6,39,-5782.0,-5782.0,0.0000000
6,40,-5599.0,-5599.0,0.0000000
6,41,-5664.0,-5664.0,0.0000000
6,42,-5677.0,-5677.0,0.0000000
6,43,-5525.0,-5525.0,0.0000000
6,44,-5473.0,-5473.0,0.0000000
6,45,-5641.0,-5641.0,0.0000000
6,46,-5678.0,-5678.0,0.0000000
6,47,-5773.0,-5773.0,0.0000000
6,48,-5510.0,-5510.0,0.0000000
6,49,-5558.0,-5558.0,0.0000000
6,50,-5628.0,-5628.0,0.0000000
6,51,-5694.0,-5694.0,0.0000000
6,52,-5621.0,-5621.0,0.0000000
6,53,-5898.0,-5898.0,0.0000000
6,54,-5662.0,-5662.0,0.0000000
6,55,-5846.0,-5846.0,0.0000000
6,56,-5798.0,-5798.0,0.0000000
6,57,-5777.0,-5777.0,0.0000000
6,58,-5672.0,-5672.0,0.0000000
6,59,-5716.0,-5716.0,0.0000000
6,60,-5557.0,-5557.0,0.0000000
6,61,-5665.0,-5665.0,0.0000000
6,62,-5691.0,-5691.0,0.0000000
6,63,-5421.0,-5421.0,0.0000000
6,64,-5820.0,-5820.0,0.0000000
6,65,-5825.0,-5825.0,0.0000000
6,66,-5708.0,-5708.0,0.0000000
6,67,-5550.0,-5550.0,0.0000000
6,68,-5693.0,-5693.0,0.0000000
6,69,-5706.0,-5706.0,0.0000000
6,70,-5398.0,-5398.0,0.0000000
6,71,-5878.0,-5878.0,0.0000000
6,72,-5710.0,-5710.0,0.0000000
6,73,-5596.0,-5596.0,0.0000000
6,74,-5823.0,-5823.0,0.0000000
6,75,-5597.0,-5597.0,0.0000000
6,76,-5645.0,-5645.0,0.0000000
6,77,-5815.0,-5815.0,0.0000000
6,78,-5961.0,-5961.0,0.0000000
6,79,-5940.0,-5940.0,0.0000000
6,80,-5652.0,-5652.0,0.0000000
6,81,-5703.0,-5703.0,0.0000000
6,82,-5475.0,-5475.0,0.0000000
6,83,-5648.0,-5648.0,0.0000000
6,84,-5727.0,-5727.0,0.0000000
6,85,-5780.0,-5780.0,0.0000000
6,86,-5882.0,-5882.0,0.0000000
6,87,-5561.0,-5561.0,0.0000000
6,88,-6051.0,-6051.0,0.0000000
6,89,-5743.0,-5743.0,0.0000000
6,90,-5856.0,-5856.0,0.0000000
6,91,-5577.0,-5577.0,0.0000000
6,92,-5703.0,-5703.0,0.0000000
6,93,-5614.0,-5614.0,0.0000000
6,94,-5591.0,-5591.0,0.0000000
6,95,-5461.0,-5461.0,0.0000000
6,96,-5521.0,-5521.0,0.0000000
6,97,-5543.0,-5543.0,0.0000000
6,98,-5606.0,-5606.0,0.0000000
6,99,-5842.0,-5842.0,0.0000000
6,100,-5660.0,-5660.0,0.0000000
6,101,-5694.0,-5694.0,0.0000000
6,102,-5612.0,-5612.0,0.0000000
6,103,-5922.0,-5922.0,0.0000000
6,104,-5688.0,-5688.0,0.0000000
6,105,-5444.0,-5444.0,0.0000000
6,106,-5511.0,-5511.0,0.0000000
6,107,-5758.0,-5758.0,0.0000000
6,108,-5634.0,-5634.0,0.0000000
6,109,-5544.0,-5544.0,0.0000000
6,110,-5722.0,-5722.0,0.0000000
6,111,-5681.0,-5681.0,0.0000000
6,112,-5527.0,-5527.0,0.0000000
6,113,-5622.0,-5622.0,0.0000000
6,114,-5654.0,-5654.0,0.0000000
6,115,-5700.0,-5700.0,0.0000000
6,116,-5848.0,-5848.0,0.0000000
6,117,-5601.0,-5601.0,0.0000000
6,118,-5642.0,-5642.0,0.0000000
6,119,-5700.0,-5700.0,0.0000000
6,120,-5699.0,-5699.0,0.0000000
6,121,-5700.0,-5700.0,0.0000000
6,122,-5393.0,-5393.0,0.0000000
6,123,-5586.0,-5586.0,0.0000000
6,124,-5529.0,-5529.0,0.0000000
7,0,-7582.0,-7582.0,0.0000000
7,1,-7753.0,-7753.0,0.0000000
7,2,-7903.0,-7903.0,0.0000000
7,3,-7840.0,-7840.0,0.0000000
7,4,-7853.0,-7853.0,0.0000000
7,5,-8032.0,-8032.0,0.0000000
7,6,-7827.0,-7827.0,0.0000000
7,7,-7855.0,-7855.0,0.0000000
7,8,-7564.0,-7564.0,0.0000000
7,9,-8068.0,-8068.0,0.0000000
7,10,-8115.0,-8115.0,0.0000000
7,11,-7718.0,-7718.0,0.0000000
7,12,-7847.0,-7847.0,0.0000000
7,13,-7851.0,-7851.0,0.0000000
7,14,-7714.0,-7714.0,0.0000000
7,15,-7730.0,-7730.0,0.0000000
7,16,-7833.0,-7833.0,0.0000000
7,17,-7862.0,-7862.0,0.0000000
7,18,-7721.0,-7721.0,0.0000000
7,19,-8026.0,-8026.0,0.0000000
7,20,-7852.0,-7852.0,0.0000000
7,21,-7569.0,-7569.0,0.0000000
7,22,-7876.0,-7876.0,0.0000000
7,23,-7956.0,-7956.0,0.0000000
7,24,-7729.0,-7729.0,0.0000000
7,25,-7642.0,-7642.0,0.0000000
7,26,-7872.0,-7872.0,0.0000000
7,27,-7635.0,-7635.0,0.0000000
7,28,-7858.0,-7858.0,0.0000000
7,29,-7913.0,-7913.0,0.0000000
7,30,-7972.0,-7972.0,0.0000000
7,31,-7657.0,-7657.0,0.0000000
7,32,-7870.0,-7870.0,0.0000000
7,33,-7994.0,-7994.0,0.0000000
7,34,-8029.0,-8029.0,0.0000000
7,35,-7994.0,-7994.0,0.0000000
7,36,-7742.0,-7742.0,0.0000000
7,37,-7705.0,-7705.0,0.0000000
7,38,-7960.0,-7960.0,0.0000000
7,39,-7730.0,-7730.0,0.0000000
7,40,-7419.0,-7419.0,0.0000000
7,41,-7609.0,-7609.0,0.0000000
7,42,-7724.0,-7724.0,0.0000000
7,43,-7713.0,-7713.0,0.0000000
7,44,-7976.0,-7976.0,0.0000000
7,45,-7972.0,-7972.0,0.0000000
7,46,-7874.0,-7874.0,0.0000000
7,47,-7976.0,-7976.0,0.0000000
7,48,-7674.0,-7674.0,0.0000000
7,49,-7858.0,-7858.0,0.0000000
7,50,-7968.0,-7968.0,0.0000000
7,51,-7957.0,-7957.0,0.0000000
7,52,-7597.0,-7597.0,0.0000000
7,53,-7770.0,-7770.0,0.0000000
7,54,-7979.0,-7979.0,0.0000000
7,55,-7467.0,-7467.0,0.0000000
7,56,-7664.0,-7664.0,0.0000000
7,57,-7674.0,-7674.0,0.0000000
7,58,-7800.0,-7800.0,0.0000000
7,59,-7836.0,-7836.0,0.0000000
7,60,-7744.0,-7744.0,0.0000000
7,61,-7721.0,-7721.0,0.0000000
7,62,-7791.0,-7791.0,0.0000000
7,63,-7670.0,-7670.0,0.0000000
7,64,-7794.0,-7794.0,0.0000000
7,65,-7874.0,-7874.0,0.0000000
7,66,-7799.0,-7799.0,0.0000000
7,67,-7837.0,-7837.0,0.0000000
7,68,-7934.0,-7934.0,0.0000000
7,69,-7784.0,-7784.0,0.0000000
7,70,-7824.0,-7824.0,0.0000000
7,71,-8040.0,-8040.0,0.0000000
7,72,-7829.0,-7829.0,0.0000000
7,73,-8238.0,-8238.0,0.0000000
7,74,-7762.0,-7762.0,0.0000000
7,75,-7853.0,-7853.0,0.0000000
7,76,-7669.0,-7669.0,0.0000000
7,77,-7755.0,-7755.0,0.0000000
7,78,-7689.0,-7689.0,0.0000000
7,79,-8104.0,-8104.0,0.0000000
7,80,-7695.0,-7695.0,0.0000000
7,81,-7769.0,-7769.0,0.0000000
7,82,-8140.0,-8140.0,0.0000000
7,83,-7297.0,-7297.0,0.0000000
7,84,-8145.0,-8145.0,0.0000000
7,85,-7880.0,-7880.0,0.0000000
7,86,-7961.0,-7961.0,0.0000000
7,87,-7761.0,-7761.0,0.0000000
7,88,-7870.0,-7870.0,0.0000000
7,89,-7694.0,-7694.0,0.0000000
7,90,-7894.0,-7894.0,0.0000000
7,91,-7757.0,-7757.0,0.0000000
7,92,-7774.0,-7774.0,0.0000000
7,93,-7677.0,-7677.0,0.0000000
7,94,-8114.0,-8114.0,0.0000000
7,95,-7651.0,-7651.0,0.0000000
7,96,-7761.0,-7761.0,0.0000000
7,97,-7816.0,-7816.0,0.0000000
7,98,-7772.0,-7772.0,0.0000000
7,99,-7570.0,-7570.0,0.0000000
7,100,-7472.0,-7472.0,0.0000000
7,101,-7961.0,-7961.0,0.0000000
7,102,-7735.0,-7735.0,0.0000000
7,103,-7835.0,-7835.0,0.0000000
7,104,-7555.0,-7555.0,0.0000000
7,105,-7754.0,-7754.0,0.0000000
7,106,-7596.0,-7596.0,0.0000000
7,107,-7850.0,-7850.0,0.0000000
7,108,-7717.0,-7717.0,0.0000000
7,109,-7820.0,-7820.0,0.0000000
7,110,-7759.0,-7759.0,0.0000000
7,111,-7725.0,-7725.0,0.0000000
7,112,-7631.0,-7631.0,0.0000000
7,113,-7559.0,-7559.0,0.0000000
7,114,-7772.0,-7772.0,0.0000000
7,115,-7708.0,-7708.0,0.0000000
7,116,-7678.0,-7678.0,0.0000000
7,117,-7716.0,-7716.0,0.0000000
7,118,-7643.0,-7643.0,0.0000000
7,119,-7965.0,-7965.0,0.0000000
7,120,-7893.0,-7893.0,0.0000000
7,121,-7945.0,-7945.0,0.0000000
7,122,-7863.0,-7863.0,0.0000000
7,123,-7453.0,-7453.0,0.0000000
7,124,-7807.0,-7807.0,0.0000000
8,0,-10483.0,-10483.0,0.0000000
8,1,-10304.0,-10304.0,0.0000000
8,2,-10324.0,-10324.0,0.0000000
8,3,-10592.0,-10592.0,0.0000000
8,4,-10478.0,-10478.0,0.0000000
8,5,-10149.0,-10149.0,0.0000000
8,6,-10239.0,-10239.0,0.0000000
8,7,-10235.0,-10235.0,0.0000000
8,8,-10176.0,-10176.0,0.0000000
8,9,-10225.0,-10225.0,0.0000000
8,10,-10535.0,-10535.0,0.0000000
8,11,-10320.0,-10320.0,0.0000000
8,12,-10261.0,-10261.0,0.0000000
8,13,-10232.0,-10232.0,0.0000000
8,14,-10344.0,-10344.0,0.0000000
8,15,-10576.0,-10576.0,0.0000000
8,16,-10612.0,-10612.0,0.0000000
8,17,-10316.0,-10316.0,0.0000000
8,18,-10393.0,-10393.0,0.0000000
8,19,-10367.0,-10367.0,0.0000000
8,20,-10660.0,-10660.0,0.0000000
8,21,-10460.0,-10460.0,0.0000000
8,22,-10305.0,-10305.0,0.0000000
8,23,-10438.0,-10438.0,0.0000000
8,24,-10282.0,-10282.0,0.0000000
8,25,-10583.0,-10583.0,0.0000000
8,26,-10301.0,-10301.0,0.0000000
8,27,-10441.0,-10441.0,0.0000000
8,28,-10690.0,-10690.0,0.0000000
8,29,-10463.0,-10463.0,0.0000000
8,30,-10159.0,-10159.0,0.0000000
8,31,-10698.0,-10698.0,0.0000000
8,32,-10392.0,-10392.0,0.0000000
8,33,-10477.0,-10477.0,0.0000000
8,34,-10676.0,-10676.0,0.0000000
8,35,-10612.0,-10612.0,0.0000000
8,36,-10342.0,-10342.0,0.0000000
8,37,-10429.0,-10429.0,0.0000000
8,38,-10381.0,-10381.0,0.0000000
8,39,-10666.0,-10666.0,0.0000000
8,40,-10111.0,-10111.0,0.0000000
8,41,-10361.0,-10361.0,0.0000000
8,42,-10494.0,-10494.0,0.0000000
8,43,-10065.0,-10065.0,0.0000000
8,44,-10438.0,-10438.0,0.0000000
8,45,-10425.0,-10425.0,0.0000000
8,46,-10373.0,-10373.0,0.0000000
8,47,-10323.0,-10323.0,0.0000000
8,48,-10791.0,-10791.0,0.0000000
8,49,-10298.0,-10298.0,0.0000000
8,50,-9986.0,-9986.0,0.0000000
8,51,-10833.0,-10833.0,0.0000000
8,52,-10212.0,-10212.0,0.0000000
8,53,-9948.0,-9948.0,0.0000000
8,54,-10395.0,-10395.0,0.0000000
8,55,-10317.0,-10317.0,0.0000000
8,56,-10608.0,-10608.0,0.0000000
8,57,-10375.0,-10375.0,0.0000000
8,58,-10271.0,-10271.0,0.0000000
8,59,-10268.0,-10268.0,0.0000000
8,60,-10153.0,-10153.0,0.0000000
8,61,-10327.0,-10327.0,0.0000000
8,62,-10366.0,-10366.0,0.0000000
8,63,-10312.0,-10312.0,0.0000000
8,64,-10329.0,-10329.0,0.0000000
8,65,-10693.0,-10693.0,0.0000000
8,66,-10310.0,-10310.0,0.0000000
8,67,-10266.0,-10266.0,0.0000000
8,68,-11006.0,-11006.0,0.0000000
8,69,-10467.0,-10467.0,0.0000000
8,70,-10450.0,-10450.0,0.0000000
8,71,-10717.0,-10717.0,0.0000000
8,72,-10471.0,-10471.0,0.0000000
8,73,-10179.0,-10179.0,0.0000000
8,74,-10092.0,-10092.0,0.0000000
8,75,-10548.0,-10548.0,0.0000000
8,76,-10210.0,-10210.0,0.0000000
8,77,-10168.0,-10168.0,0.0000000
8,78,-9966.0,-9966.0,0.0000000
8,79,-10548.0,-10548.0,0.0000000
8,80,-10653.0,-10653.0,0.0000000
8,81,-10440.0,-10440.0,0.0000000
8,82,-10236.0,-10236.0,0.0000000
8,83,-10684.0,-10684.0,0.0000000
8,84,-10293.0,-10293.0,0.0000000
8,85,-10403.0,-10403.0,0.0000000
8,86,-10431.0,-10431.0,0.0000000
8,87,-10142.0,-10142.0,0.0000000
8,88,-10171.0,-10171.0,0.0000000
8,89,-10425.0,-10425.0,0.0000000
8,90,-10322.0,-10322.0,0.0000000
8,91,-10460.0,-10460.0,0.0000000
8,92,-10086.0,-10086.0,0.0000000
8,93,-10623.0,-10623.0,0.0000000
8,94,-10354.0,-10354.0,0.0000000
8,95,-10456.0,-10456.0,0.0000000
8,96,-10278.0,-10278.0,0.0000000
8,97,-10678.0,-10678.0,0.0000000
8,98,-10212.0,-10212.0,0.0000000
8,99,-10377.0,-10377.0,0.0000000
8,100,-10097.0,-10097.0,0.0000000
8,101,-10473.0,-10473.0,0.0000000
8,102,-10737.0,-10737.0,0.0000000
8,103,-10255.0,-10255.0,0.0000000
8,104,-10073.0,-10073.0,0.0000000
8,105,-10512.0,-10512.0,0.0000000
8,106,-10562.0,-10562.0,0.0000000
8,107,-10271.0,-10271.0,0.0000000
8,108,-9948.0,-9948.0,0.0000000
8,109,-10631.0,-10631.0,0.0000000
8,110,-10294.0,-10294.0,0.0000000
8,111,-10278.0,-10278.0,0.0000000
8,112,-9894.0,-9894.0,0.0000000
8,113,-10266.0,-10266.0,0.0000000
8,114,-10186.0,-10186.0,0.0000000
8,115,-10578.0,-10578.0,0.0000000
8,116,-10451.0,-10451.0,0.0000000
8,117,-10298.0,-10298.0,0.0000000
8,118,-10345.0,-10345.0,0.0000000
8,119,-10152.0,-10152.0,0.0000000
8,120,-10529.0,-10529.0,0.0000000
8,121,-10400.0,-10400.0,0.0000000
8,122,-10290.0,-10290.0,0.0000000
8,123,-10529.0,-10529.0,0.0000000
8,124,-10296.0,-10296.0,0.0000000
9,0,-13512.0,-13512.0,0.0000000
9,1,-13812.0,-13812.0,0.0000000
9,2,-13033.0,-13033.0,0.0000000
9,3,-13375.0,-13375.0,0.0000000
9,4,-12999.0,-12999.0,0.0000000
9,5,-12874.0,-12874.0,0.0000000
9,6,-13188.0,-13188.0,0.0000000
9,7,-13273.0,-13273.0,0.0000000
9,8,-12781.0,-12781.0,0.0000000
9,9,-13222.0,-13222.0,0.0000000
9,10,-13338.0,-13338.0,0.0000000
9,11,-13039.0,-13039.0,0.0000000
9,12,-13498.0,-13498.0,0.0000000
9,13,-13297.0,-13297.0,0.0000000
9,14,-13372.0,-13372.0,0.0000000
9,15,-13297.0,-13297.0,0.0000000
9,16,-13112.0,-13112.0,0.0000000
9,17,-13314.0,-13314.0,0.0000000
9,18,-13584.0,-13584.0,0.0000000
9,19,-13145.0,-13145.0,0.0000000
9,20,-13484.0,-13484.0,0.0000000
9,21,-13047.0,-13047.0,0.0000000
9,22,-13405.0,-13405.0,0.0000000
9,23,-12911.0,-12911.0,0.0000000
9,24,-13214.0,-13214.0,0.0000000
9,25,-13254.0,-13254.0,0.0000000
9,26,-13286.0,-13286.0,0.0000000
9,27,-13281.0,-13281.0,0.0000000
9,28,-13175.0,-13175.0,0.0000000
9,29,-12790.0,-12790.0,0.0000000
9,30,-13367.0,-13367.0,0.0000000
9,31,-13486.0,-13486.0,0.0000000
9,32,-12997.0,-12997.0,0.0000000
9,33,-13493.0,-13493.0,0.0000000
9,34,-13367.0,-13367.0,0.0000000
9,35,-13244.0,-13244.0,0.0000000
9,36,-13173.0,-13173.0,0.0000000
9,37,-13453.0,-13453.0,0.0000000
9,38,-13103.0,-13103.0,0.0000000
9,39,-13323.0,-13323.0,0.0000000
9,40,-13498.0,-13498.0,0.0000000
9,41,-13290.0,-13290.0,0.0000000
9,42,-13163.0,-13163.0,0.0000000
9,43,-13180.0,-13180.0,0.0000000
9,44,-13303.0,-13303.0,0.0000000
9,45,-12993.0,-12993.0,0.0000000
9,46,-13143.0,-13143.0,0.0000000
9,47,-13460.0,-13460.0,0.0000000
9,48,-13318.0,-13318.0,0.0000000
9,49,-12953.0,-12953.0,0.0000000
9,50,-13362.0,-13362.0,0.0000000
9,51,-13480.0,-13480.0,0.0000000
9,52,-13068.0,-13068.0,0.0000000
9,53,-13302.0,-13302.0,0.0000000
9,54,-13348.0,-13348.0,0.0000000
9,55,-13483.0,-13483.0,0.0000000
9,56,-13229.0,-13229.0,0.0000000
9,57,-13171.0,-13171.0,0.0000000
9,58,-12793.0,-12793.0,0.0000000
9,59,-13444.0,-13444.0,0.0000000
9,60,-13445.0,-13445.0,0.0000000
9,61,-13254.0,-13254.0,0.0000000
9,62,-13360.0,-13360.0,0.0000000
9,63,-13070.0,-13070.0,0.0000000
9,64,-13276.0,-13276.0,0.0000000
9,65,-13363.0,-13363.0,0.0000000
9,66,-13157.0,-13157.0,0.0000000
9,67,-13220.0,-13220.0,0.0000000
9,68,-13160.0,-13160.0,0.0000000
9,69,-13050.0,-13050.0,0.0000000
9,70,-13393.0,-13393.0,0.0000000
9,71,-13046.0,-13046.0,0.0000000
9,72,-13468.0,-13468.0,0.0000000
9,73,-13093.0,-13093.0,0.0000000
9,74,-13417.0,-13417.0,0.0000000
9,75,-13095.0,-13095.0,0.0000000
9,76,-13001.0,-13001.0,0.0000000
9,77,-13404.0,-13404.0,0.0000000
9,78,-13317.0,-13317.0,0.0000000
9,79,-13400.0,-13400.0,0.0000000
9,80,-13064.0,-13064.0,0.0000000
9,81,-13248.0,-13248.0,0.0000000
9,82,-13252.0,-13252.0,0.0000000
9,83,-13372.0,-13372.0,0.0000000
9,84,-13359.0,-13359.0,0.0000000
9,85,-13115.0,-13115.0,0.0000000
9,86,-13121.0,-13121.0,0.0000000
9,87,-13428.0,-13428.0,0.0000000
9,88,-13070.0,-13070.0,0.0000000
9,89,-13409.0,-13409.0,0.0000000
9,90,-13558.0,-13558.0,0.0000000
9,91,-13207.0,-13207.0,0.0000000
9,92,-13138.0,-13138.0,0.0000000
9,93,-13347.0,-13347.0,0.0000000
9,94,-13219.0,-13219.0,0.0000000
9,95,-13239.0,-13239.0,0.0000000
9,96,-13359.0,-13359.0,0.0000000
9,97,-13058.0,-13058.0,0.0000000
9,98,-13397.0,-13397.0,0.0000000
9,99,-13038.0,-13038.0,0.0000000
9,100,-13475.0,-13475.0,0.0000000
9,101,-13309.0,-13309.0,0.0000000
9,102,-13351.0,-13351.0,0.0000000
9,103,-13144.0,-13144.0,0.0000000
9,104,-13226.0,-13226.0,0.0000000
9,105,-13513.0,-13513.0,0.0000000
9,106,-13309.0,-13309.0,0.0000000
9,107,-13161.0,-13161.0,0.0000000
9,108,-13221.0,-13221.0,0.0000000
9,109,-13323.0,-13323.0,0.0000000
9,110,-13311.0,-13311.0,0.0000000
9,111,-12924.0,-12924.0,0.0000000
9,112,-12986.0,-12986.0,0.0000000
9,113,-13459.0,-13459.0,0.0000000
9,114,-13134.0,-13134.0,0.0000000
9,115,-13291.0,-13291.0,0.0000000
9,116,-13098.0,-13098.0,0.0000000
9,117,-12942.0,-12942.0,0.0000000
9,118,-13425.0,-13425.0,0.0000000
9,119,-13021.0,-13021.0,0.0000000
9,120,-13486.0,-13486.0,0.0000000
9,121,-13282.0,-13282.0,0.0000000
9,122,-13683.0,-13683.0,0.0000000
9,123,-13367.0,-13367.0,0.0000000
9,124,-13449.0,-13449.0,0.0000000
10,0,-16128.0,-16128.0,0.0000000
10,1,-16535.0,-16535.0,0.0000000
10,2,-16690.0,-16690.0,0.0000000
10,3,-15860.0,-15860.0,0.0000000
10,4,-16922.0,-16922.0,0.0000000
10,5,-16580.0,-16580.0,0.0000000
10,6,-16577.0,-16577.0,0.0000000
10,7,-16417.0,-16417.0,0.0000000
10,8,-16375.0,-16375.0,0.0000000
